collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,collection.reference_no,10_my_bin
784,PaleoDB,"T. Olszewski",,Composita,,,29,"Permian 1"
784,PaleoDB,"T. Olszewski",,Derbyia,,,29,"Permian 1"
784,PaleoDB,"T. Olszewski",,Reticulatia,,,29,"Permian 1"
784,PaleoDB,"T. Olszewski",,Juresania,,,29,"Permian 1"
784,PaleoDB,"T. Olszewski",,Neochonetes,,,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Composita,,,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Derbyia,,,29,"Permian 1"
788,PaleoDB,"T. Olszewski",?,Dielasma,?,Beecheria,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Enteletes,,Enteletes,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Parajuresania,,Juresania,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Meekella,,,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Neochonetes,,,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Neospirifer,,,29,"Permian 1"
790,PaleoDB,"T. Olszewski",,Composita,,,29,"Permian 1"
790,PaleoDB,"T. Olszewski",,Derbyia,,,29,"Permian 1"
790,PaleoDB,"T. Olszewski",,Reticulatia,,,29,"Permian 1"
790,PaleoDB,"T. Olszewski",,Parajuresania,,Juresania,29,"Permian 1"
790,PaleoDB,"T. Olszewski",,Meekella,,,29,"Permian 1"
790,PaleoDB,"T. Olszewski",,Neochonetes,,,29,"Permian 1"
793,PaleoDB,"T. Olszewski",,Composita,,,29,"Permian 1"
793,PaleoDB,"T. Olszewski",,Crurithyris,,,29,"Permian 1"
793,PaleoDB,"T. Olszewski",,Lingula,,,29,"Permian 1"
793,PaleoDB,"T. Olszewski",,Linoproductus,,,29,"Permian 1"
793,PaleoDB,"T. Olszewski",,Hystriculina,,,29,"Permian 1"
793,PaleoDB,"T. Olszewski",,Wellerella,,,29,"Permian 1"
796,PaleoDB,"T. Olszewski",,Composita,,,29,"Permian 1"
796,PaleoDB,"T. Olszewski",,Derbyia,,,29,"Permian 1"
796,PaleoDB,"T. Olszewski",,Reticulatia,,,29,"Permian 1"
796,PaleoDB,"T. Olszewski",,Parajuresania,,Juresania,29,"Permian 1"
796,PaleoDB,"T. Olszewski",,Meekella,,,29,"Permian 1"
796,PaleoDB,"T. Olszewski",,Neochonetes,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Kutorginella,,Retaria,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Composita,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Crurithyris,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Reticulatia,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Linipalus,,Linoproductus,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Lissochonetes,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Neochonetes,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",?,Neospirifer,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Rhipidomella,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Streptorhynchus,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Wellerella,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Hystriculina,,,29,"Permian 1"
799,PaleoDB,"T. Olszewski",,Composita,,,29,"Permian 1"
799,PaleoDB,"T. Olszewski",,Juresania,,,29,"Permian 1"
799,PaleoDB,"T. Olszewski",,Lingula,,,29,"Permian 1"
801,PaleoDB,"T. Olszewski",,Composita,,,29,"Permian 1"
801,PaleoDB,"T. Olszewski",,Derbyia,,,29,"Permian 1"
801,PaleoDB,"T. Olszewski",,Reticulatia,,,29,"Permian 1"
801,PaleoDB,"T. Olszewski",,Neochonetes,,,29,"Permian 1"
