collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,collection.reference_no,10_my_bin
4868,Fossilworks,"J. Alroy","n. gen.",Georgiacetus,,,289,"Cenozoic 2"
6802,PaleoDB,"L. Ivany","n. gen.",Cynthiacetus,,,415,"Cenozoic 3"
7297,PaleoDB,"L. Ivany",,Basilotritus,,Eocetus,470,"Cenozoic 3"
7299,PaleoDB,"L. Ivany",,Basilotritus,,Eocetus,470,"Cenozoic 3"
11596,PaleoDB,"M. Uhen",,Basilosaurus,,,6010,"Cenozoic 3"
11601,PaleoDB,"M. Uhen",,Argyrocetus,,Acrodelphis,10315,"Cenozoic 4"
11601,PaleoDB,"M. Uhen",,Argyrocetus,,,10315,"Cenozoic 4"
12120,PaleoDB,"M. Uhen","n. gen.",Kampholophos,,,4176,"Cenozoic 5"
12121,PaleoDB,"M. Uhen","n. gen.",Kharthlidelphis,"n. gen.",Kharthlidelphis,6018,"Cenozoic 4"
13063,PaleoDB,"M. Uhen","n. gen.",Pinocetus,,,10900,"Cenozoic 5"
13064,PaleoDB,"M. Uhen","n. gen.",Basiloterus,,,6010,"Cenozoic 3"
13078,PaleoDB,"M. Uhen","n. gen.",Sachalinocetus,,,4357,"Cenozoic 5"
13079,PaleoDB,"M. Uhen",,Hemisyntrachelus,,Tursiops,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Piscobalaena,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Ninoziphius,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Odobenocetops,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Pliopontos,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Piscolithax,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Odobenocetops,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Acrophyseter,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Scaphokogia,,,11891,"Cenozoic 6"
13090,PaleoDB,"M. Uhen","n. gen.",Praekogia,,,4361,"Cenozoic 6"
13092,PaleoDB,"M. Uhen",,Aulophyseter,,,4362,"Cenozoic 6"
13096,PaleoDB,"M. Uhen",,Patriocetus,,,4365,"Cenozoic 4"
13096,PaleoDB,"M. Uhen",,Microcetus,,Microcetus,4365,"Cenozoic 4"
13098,PaleoDB,"M. Uhen","n. gen.",Mixocetus,,,10152,"Cenozoic 6"
13100,PaleoDB,"M. Uhen","n. gen.",Austrosqualodon,,,4368,"Cenozoic 4"
13102,PaleoDB,"M. Uhen",,Dorudon,,,6026,"Cenozoic 3"
13102,PaleoDB,"M. Uhen",,Basilosaurus,,,6026,"Cenozoic 3"
13103,PaleoDB,"M. Uhen",,Dorudon,,Prozeuglodon,6026,"Cenozoic 3"
13103,PaleoDB,"M. Uhen",,Basilosaurus,,,6026,"Cenozoic 3"
13297,PaleoDB,"J. Hunter","n. gen.",Aulophyseter,,,4416,"Cenozoic 5"
13297,PaleoDB,"J. Hunter","n. gen.",Kentriodon,"n. gen.",Grypolithax,4416,"Cenozoic 5"
13297,PaleoDB,"J. Hunter","n. gen.",Kentriodon,"n. gen.",Grypolithax,4416,"Cenozoic 5"
13297,PaleoDB,"J. Hunter","n. gen.",Loxolithax,,,4416,"Cenozoic 5"
13297,PaleoDB,"J. Hunter","n. gen.",Platylithax,,,4416,"Cenozoic 5"
13297,PaleoDB,"J. Hunter","n. gen.",Nannolithax,,,4416,"Cenozoic 5"
13297,PaleoDB,"J. Hunter","n. gen.",Lamprolithax,,,4416,"Cenozoic 5"
13297,PaleoDB,"J. Hunter","n. gen.",Lamprolithax,,,4416,"Cenozoic 5"
13297,PaleoDB,"J. Hunter","n. gen.",Oedolithax,,,4416,"Cenozoic 5"
13297,PaleoDB,"J. Hunter","n. gen.",Liolithax,,,4416,"Cenozoic 5"
13297,PaleoDB,"J. Hunter",,Parietobalaena,,,4416,"Cenozoic 5"
13297,PaleoDB,"J. Hunter","n. gen.",Peripolocetus,,,4416,"Cenozoic 5"
13297,PaleoDB,"J. Hunter","n. gen.",Tiphyocetus,,,4416,"Cenozoic 5"
13300,PaleoDB,"J. Hunter",,Piscolithax,,,4418,"Cenozoic 6"
13300,PaleoDB,"J. Hunter",,Pithanodelphis,,,4418,"Cenozoic 6"
13300,PaleoDB,"J. Hunter",?,Nannocetus,,,4418,"Cenozoic 6"
13402,PaleoDB,"M. Uhen",,Dorudon,,,6026,"Cenozoic 3"
13402,PaleoDB,"M. Uhen",,Basilosaurus,,,6026,"Cenozoic 3"
13403,PaleoDB,"M. Uhen",,Masracetus,,Cynthiacetus,6026,"Cenozoic 3"
13403,PaleoDB,"M. Uhen",,Dorudon,,,6026,"Cenozoic 3"
13403,PaleoDB,"M. Uhen",,Basilosaurus,,,6026,"Cenozoic 3"
13405,PaleoDB,"M. Uhen","n. gen.",Dorudon,,,6032,"Cenozoic 3"
13406,PaleoDB,"M. Uhen",?,Basilosaurus,,Basilosaurus,6033,"Cenozoic 3"
13407,PaleoDB,"M. Uhen","n. gen.",Thinocetus,,,6034,"Cenozoic 5"
13408,PaleoDB,"M. Uhen","n. gen.",Halicetus,,,17218,"Cenozoic 5"
13408,PaleoDB,"M. Uhen",,Thinocetus,,,17218,"Cenozoic 5"
13451,PaleoDB,"M. Uhen",,Albireo,,,6029,"Cenozoic 6"
13488,PaleoDB,"W. Clyde",,Balaenoptera,,,6103,"Cenozoic 6"
13522,Fossilworks,"J. Alroy",,Saurocetes,,Saurodelphis,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy","n. gen.",Ischyrorhynchus,"n. gen.",Anisodelphis,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy",,Palaeobalaena,,,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy",,Palaeobalaena,,Palaeobalaena,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy","n. gen.",Saurocetes,,,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy","n. gen.",Pontivaga,"n. gen.",Pontivaga,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy",,Saurocetes,,,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy","n. gen.",Ischyrorhynchus,,,6124,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Pontistes,,Delphinus,6134,"Cenozoic 6"
16549,Fossilworks,"J. Alroy",,Basilosaurus,,,8803,"Cenozoic 3"
18505,Fossilworks,"J. Alroy","n. gen.",Kogiopsis,,,2609,"Cenozoic 5"
18506,Fossilworks,"J. Alroy",,Dinoziphius,,Dinoziphius,42707,
18506,Fossilworks,"J. Alroy","n. gen.",Ceterhinops,,,42707,
18506,Fossilworks,"J. Alroy",,Choneziphius,,Proroziphius,42707,
18512,Fossilworks,"J. Alroy",cf.,Pomatodelphis,,,2614,"Cenozoic 5"
18518,Fossilworks,"J. Alroy",,Orycterocetus,,,3383,"Cenozoic 5"
18532,Fossilworks,"J. Alroy",,Ninoziphius,,,1064,"Cenozoic 6"
18532,Fossilworks,"J. Alroy",,Goniodelphis,,,1064,"Cenozoic 6"
18532,Fossilworks,"J. Alroy",,Delphinodon,,,1064,"Cenozoic 6"
18535,Fossilworks,"J. Alroy",,Balaenoptera,,,3558,"Cenozoic 6"
18535,Fossilworks,"J. Alroy",,Hadrodelphis,,,3558,"Cenozoic 6"
18535,Fossilworks,"J. Alroy",,Goniodelphis,,,3558,"Cenozoic 6"
