collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,collection.reference_no,10_my_bin
5195,Fossilworks,"J. Alroy","n. gen.",Pawpawsaurus,,Nodosauridae,312,"Cretaceous 4"
10755,PaleoDB,"M. Carrano","n. gen.",Chaoyangsaurus,"n. gen.",Chaoyangosaurus,13360,
10764,PaleoDB,"M. Carrano","n. gen.",Caudipteryx,,,19421,
10764,PaleoDB,"M. Carrano","n. gen.",Protarchaeopteryx,,,19421,
11582,PaleoDB,"E. Fara",,Saichania,,,4173,
11582,PaleoDB,"E. Fara","n. gen.",Ajancingenia,"n. gen.",Ingenia,4173,
11582,PaleoDB,"E. Fara",,Tarchia,,,4173,
11582,PaleoDB,"E. Fara","n. gen.",Platyceratops,,,4173,
11582,PaleoDB,"E. Fara","n. gen.",Gobiceratops,,,4173,
11604,PaleoDB,"M. Carrano",,Isisaurus,,Titanosaurus,33029,"Cretaceous 8"
11611,ETE,"C. Boyce",,Allosaurus,,Allosaurus,5767,
11611,ETE,"C. Boyce",,Camarasaurus,,,5767,
11611,ETE,"C. Boyce",,Ceratosaurus,,,5767,
11611,ETE,"C. Boyce",,Diplodocus,,,5767,
11611,ETE,"C. Boyce",,Barosaurus,,,5767,
11611,ETE,"C. Boyce",,Camarasaurus,,,5767,
11611,ETE,"C. Boyce",,Apatosaurus,,,5767,
11611,ETE,"C. Boyce","n. gen.",Mymoorapelta,,,5767,
11890,PaleoDB,"M. Carrano",,Gorgosaurus,,Gorgosaurus,36144,"Cretaceous 7"
11893,PaleoDB,"M. Carrano",,Gorgosaurus,,Gorgosaurus,33225,"Cretaceous 7"
11894,ETE,"M. Carrano",,Centrosaurus,,,16964,"Cretaceous 7"
11895,PaleoDB,"M. Carrano",,Gorgosaurus,,Gorgosaurus,33225,"Cretaceous 7"
11896,PaleoDB,"M. Carrano",,Gorgosaurus,,Gorgosaurus,33225,"Cretaceous 7"
11897,PaleoDB,"M. Carrano","n. gen.",Gorgosaurus,,Deinodon,17545,"Cretaceous 7"
