collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,collection.reference_no,10_my_bin
614,PaleoDB,"J. Sepkoski",,Otarion,,,13,"Devonian 3"
616,PaleoDB,"J. Sepkoski",,Proetus,,,13,"Devonian 3"
616,PaleoDB,"J. Sepkoski",,Leonaspis,,,13,"Devonian 3"
619,PaleoDB,"A. Miller",,Otarion,,,13,"Devonian 3"
622,PaleoDB,"A. Miller",,Dechenella,,,13,"Devonian 3"
627,PaleoDB,"A. Miller",,Trimerus,,,841,"Devonian 3"
627,PaleoDB,"A. Miller",,Greenops,,,841,"Devonian 3"
627,PaleoDB,"A. Miller",,Phacops,,,841,"Devonian 3"
627,PaleoDB,"A. Miller",,Dechenella,,,841,"Devonian 3"
632,PaleoDB,"A. Miller",,Proetus,,,13,"Devonian 4"
660,PaleoDB,"A. Miller",,Otarion,,,13,"Devonian 3"
668,PaleoDB,"A. Miller",,Proetus,,,18530,"Devonian 4"
669,PaleoDB,"A. Miller",,Trimerus,,,13,"Devonian 3"
669,PaleoDB,"A. Miller",,Phacops,,,13,"Devonian 3"
670,PaleoDB,"A. Miller",,Trimerus,,,13,"Devonian 3"
670,PaleoDB,"A. Miller",,Greenops,,,13,"Devonian 3"
670,PaleoDB,"A. Miller",,Phacops,,,13,"Devonian 3"
3639,PaleoDB,"P. Wagner",,Dechenella,,,221,"Devonian 3"
3844,Fossilworks,"J. Alroy",,Proetus,,,257,"Devonian 3"
3845,Fossilworks,"J. Alroy",,Harpidella,,,257,"Devonian 3"
3845,Fossilworks,"J. Alroy",,Acanthopyge,,,257,"Devonian 3"
3845,Fossilworks,"J. Alroy",,Mystrocephala,,,257,"Devonian 3"
3845,Fossilworks,"J. Alroy",,Mannopyge,,,257,"Devonian 3"
3845,Fossilworks,"J. Alroy",,Dechenella,,,257,"Devonian 3"
3845,Fossilworks,"J. Alroy",,Crassiproetus,,,257,"Devonian 3"
3845,Fossilworks,"J. Alroy",,Proetus,,,257,"Devonian 3"
3850,Fossilworks,"J. Alroy",,Dechenella,,,257,"Devonian 3"
3853,Fossilworks,"J. Alroy",,Dechenella,,,257,"Devonian 3"
5619,PaleoDB,"A. Miller",,Eldredgeops,,Phacops,347,"Devonian 3"
5620,PaleoDB,"A. Miller",,Eldredgeops,,Phacops,347,"Devonian 3"
5620,PaleoDB,"A. Miller",,Greenops,,,347,"Devonian 3"
5657,PaleoDB,"A. Miller",,Eldredgeops,,Phacops,347,"Devonian 3"
5657,PaleoDB,"A. Miller",,Greenops,,,347,"Devonian 3"
5661,PaleoDB,"A. Miller",,Eldredgeops,,Phacops,347,"Devonian 3"
5661,PaleoDB,"A. Miller",,Greenops,,,347,"Devonian 3"
5664,PaleoDB,"A. Miller",,Eldredgeops,,Phacops,347,"Devonian 3"
5665,PaleoDB,"A. Miller",,Greenops,,,347,"Devonian 3"
5665,PaleoDB,"A. Miller",,Eldredgeops,,Phacops,347,"Devonian 3"
5666,PaleoDB,"A. Miller",,Eldredgeops,,Phacops,347,"Devonian 3"
5667,PaleoDB,"A. Miller",,Eldredgeops,,Phacops,347,"Devonian 3"
5668,PaleoDB,"A. Miller",,Eldredgeops,,Phacops,347,"Devonian 3"
5668,PaleoDB,"A. Miller",,Greenops,,,347,"Devonian 3"
5669,PaleoDB,"A. Miller",,Eldredgeops,,Phacops,347,"Devonian 3"
5702,PaleoDB,"A. Miller",,Anchiopsis,,,350,"Devonian 3"
5706,PaleoDB,"A. Miller",,Coronura,,,350,"Devonian 3"
5767,PaleoDB,"A. Miller",,Proetus,,,357,"Devonian 3"
5767,PaleoDB,"A. Miller",,Otarion,,,357,"Devonian 3"
